event_id,median_saliency,mean_saliency,saliency_iqr,positive_agreement_count,top_rank_agreement_count,fold_0_score,fold_1_score,fold_2_score,fold_3_score,fold_4_score,timestamp,view,zone,case_age_hours,local_hour
event_756f1cb5a616894d10710e66aabce281a6d1331020d3e6b42274719876295957,0.09495926680244399,0.25280040733197556,0.210030549898167,1,0,-0.004699353128671646,0.0008528605103492737,-0.0006814284133724868,-0.0022020793985575438,-0.002651289803907275,2025-02-16T00:00:00,ROOTZONE,4,0.0,0
event_78d61e5f8affb16766b2b06a57245d6b68d6ca913bf8932e4753615a2bbb208d,0.22072301425661914,0.20320773930753563,0.10183299389002035,0,0,-0.002501491457223892,-0.00013121914525981992,-0.000724004756193608,-0.00210441998206079,-0.0013748893979936838,2025-02-16T00:00:00,ACTUATOR,4,0.0,0
event_3cb80d7b918efe3779a57706c85a6dbae2a3ba4bf18300c8a7f4e5bd804bb081,0.4755600814663951,0.4413951120162933,0.1234725050916497,3,0,-0.0010837189620360732,2.0916573703289032e-05,-0.000738224305678159,1.3101787772029638e-05,0.0006697162752971053,2025-02-16T01:00:00,ENVIRONMENT,1,1.0,1
event_f0f8bd7eb767189630b22d8f424001694f30057af3af3d702be90020885a4a6d,0.3189918533604888,0.3937372708757637,0.058808553971486766,1,1,-0.0015564810018986464,0.0010588581208139658,-0.001676799962297082,-0.0003649479476734996,-0.0005115802632644773,2025-02-16T01:00:00,ROOTZONE,1,1.0,1
event_1c97d299abfd7f85706753af3daa7fdae49e0086d6a0381e86f085e1ef905556,0.4791242362525458,0.4028004073319755,0.1952647657841141,3,0,3.287171421106905e-05,0.000105179293313995,-0.0008982675499282777,-0.0005351179279386997,0.00021164046484045684,2025-02-16T01:00:00,ACTUATOR,1,1.0,1
event_f9f9b7ce8b1ac0c4a543a135b2c9fcbbb19eedf73eae512bc340f53dd334347d,0.42286150712830956,0.43538696537678206,0.17286150712830956,2,0,-0.0009366900776512921,-8.034746861085296e-05,-0.0010656060185283422,0.0006729654269292951,0.0002908154856413603,2025-02-16T01:00:00,ENVIRONMENT,2,1.0,1
event_f6c7291e6e7b279b7732f4c62e3a61b73e39d6788bd0a5b2d2e938220a5553c5,0.37830957230142565,0.4634419551934827,0.43304480651731164,2,1,-0.0008999417768791318,0.001072959741577506,-0.002093289513140917,0.0006973785348236561,-0.0006437032716348767,2025-02-16T01:00:00,ROOTZONE,2,1.0,1
event_451aa779c9e050f230b5822d5231866f251067cf29080e87004f4388479a46c6,0.4508655804480652,0.37744399185336047,0.06466395112016293,1,0,0.0001243276201421395,-3.5417411709204316e-05,-0.0014286849182099104,-1.7010082956403494e-05,-0.0001601740950718522,2025-02-16T01:00:00,ACTUATOR,2,1.0,1
event_33b97baa44f74f8ddc26c66e15b8b2546e7908360754a8fc4a4ba0b037865b16,0.36990835030549896,0.35076374745417516,0.17184317718940934,1,0,-0.002802767790853977,-0.00019195664208382368,-0.0012642880901694298,-0.0003326064324937761,0.0007060162606649101,2025-02-16T01:00:00,ENVIRONMENT,3,1.0,1
event_b96b42478f4f5fc10578b4202e53aa08bcf81cabbc1b9286b2aacbb6779024db,0.2721486761710794,0.33778004073319756,0.26425661914460286,1,0,-0.0037906209472566843,0.0006747683510184288,-0.0022322165314108133,-0.000738923205062747,-0.00015899824211373925,2025-02-16T01:00:00,ROOTZONE,3,1.0,1
event_b813fe060bc1b08ab99c3e42f56acd616d9b90cc93f0bd4dbea029b54a729157,0.2690936863543788,0.28757637474541753,0.11914460285132383,1,0,-0.002144028665497899,-0.0001677332620602101,-0.00165643694344908,-0.0007476663449779153,9.046046761795878e-05,2025-02-16T01:00:00,ACTUATOR,3,1.0,1
event_d8c5fdb645e534ad04fe94583ffae81f498bc9a7c4fd4100bd99ce0c9751c84f,0.35692464358452136,0.3536150712830957,0.2334521384928717,2,0,-0.004300014115869999,0.00017370055138599128,-0.0006478840368799865,-0.00041521881939843297,7.44075805414468e-05,2025-02-16T01:00:00,ENVIRONMENT,4,1.0,1
event_f22128e3702f1959e93b438a1f5dbb73023d63da095977bbfd60c4e2485c322b,0.14282077393075357,0.3028004073319756,0.11430753564154787,1,1,-0.00593948969617486,0.0016356187406927347,-0.0011274644639343023,-0.0009107610676437616,-0.0013109338469803333,2025-02-16T01:00:00,ROOTZONE,4,1.0,1
event_34647e6d3af6575f36d757dd70a79cf9ca340ffdb00b1774e092d2a181ce7f7e,0.22275967413441955,0.33212830957230144,0.13671079429735233,1,0,-0.0033115586265921593,0.000355894910171628,-0.0007460759952664375,-0.0009314071503467858,-0.0003904066688846797,2025-02-16T01:00:00,ACTUATOR,4,1.0,1
event_2f423b7a6b5d4cdbd6e2000cf87e2e22d8ec4c0f7969605362ee53f80e9e3179,0.3902749490835031,0.3757637474541752,0.14154786150712834,0,0,-8.834045729599893e-05,-0.00034007374779321253,-0.0005896775983273983,-0.00031004432821646333,-2.3576634703204036e-05,2025-02-16T02:00:00,ENVIRONMENT,1,2.0,2
event_085d2b26b3d3c12c73f73d0499431855cd7d304c8598db86bb9e5c35034d5df6,0.20264765784114053,0.22357433808553967,0.15427698574338086,0,0,-0.000552313169464469,-0.0004320727603044361,-0.0011005968553945422,-0.0010103571694344282,-0.0015175817534327507,2025-02-16T02:00:00,ROOTZONE,1,2.0,2
event_9d70e011c37e09a7cb5509ebed92959b348e5319b906df71ea2bd07465f36468,0.2935336048879837,0.3359979633401222,0.08630346232179226,1,0,0.0010161837562918663,-0.0003844215243589133,-0.0006850613281130791,-0.0008776630857028067,-0.0004924256936646998,2025-02-16T02:00:00,ACTUATOR,1,2.0,2
event_ff1961207e5998631da56b9204d15a24aaee0df6d7f457469b679d64a0a3e669,0.34979633401221993,0.3765784114052953,0.24821792260692463,2,0,0.00016704382142052054,-0.0005181777523830533,-0.0008244743221439421,0.0003736690850928426,-0.0003891912929248065,2025-02-16T02:00:00,ENVIRONMENT,2,2.0,2
event_021a13c32f7638cff3794d612db2a3b07cc5eb7140054045c97d3e1a3f028d50,0.2522912423625255,0.2980142566191446,0.45646639511201625,2,0,0.0005799764767289162,-0.00049252447206527,-0.0016022848431020975,0.0002416830393485725,-0.0016893853899091482,2025-02-16T02:00:00,ROOTZONE,2,2.0,2
event_f2cca49a554d0004f3c782b7fa5be499f83c785348486cb3a8c357e27a347995,0.2339613034623218,0.3045315682281059,0.16038696537678207,1,0,0.0012222545919939876,-0.0006532688857987523,-0.001075631007552147,-0.0004236144886817783,-0.0008418902289122343,2025-02-16T02:00:00,ACTUATOR,2,2.0,2
event_76461e109133f361ccd2b55dc5d713c66f2d86930add67125fc1b10beb898030,0.285132382892057,0.27617107942973523,0.07179226069246436,0,0,-0.0016336551634594798,-0.0005573380040004849,-0.0010846987133845687,-0.0006826481549069285,-5.4954332881607115e-05,2025-02-16T02:00:00,ENVIRONMENT,3,2.0,2
event_d3076f1352ea9358d792be2e4759b4fce8444f5a259afe3ab527b21ec5b99054,0.13925661914460286,0.13391038696537677,0.08401221995926682,0,0,-0.0024711131118237972,-0.000716195092536509,-0.001811832538805902,-0.0016231113113462925,-0.0013389002997428179,2025-02-16T02:00:00,ROOTZONE,3,2.0,2
event_55311641f872d9da8701eb6644edbb819f379467e7afde39a9f78745f8f5d4d8,0.20875763747454176,0.2288696537678208,0.14434826883910387,0,0,-0.000677187112160027,-0.0006087347865104675,-0.0012825843878090382,-0.0012503769248723984,-0.0005880023818463087,2025-02-16T02:00:00,ACTUATOR,3,2.0,2
event_2f836eab595418fad5fa122122adfbf25dd6555eb05ffd37060df6d41a24435a,0.26221995926680247,0.2661405295315682,0.05473523421588597,0,0,-0.0031363351736217737,-0.00025455199647694826,-0.0005066524026915431,-0.0008588548516854644,-0.000715838628821075,2025-02-16T02:00:00,ENVIRONMENT,4,2.0,2
event_c19a15474b689eb5dd4f08e4d9828d2cab3f4d778f0929774b16517b56a6ae81,0.06644602851323829,0.18039714867617107,0.21868635437881875,1,0,-0.0053835678845644,7.366703357547522e-06,-0.0005477151717059314,-0.001826103893108666,-0.002676180563867092,2025-02-16T02:00:00,ROOTZONE,4,2.0,2
event_218dd966e7a5e06c32dd5fc1fb16bdb4324f0aae7f6c6ff2ae3852960230edde,0.25814663951120165,0.22550916496945012,0.09903258655804478,0,0,-0.0021835188381373882,-0.00025424978230148554,-0.0005896767834201455,-0.0015873152296990156,-0.0011961280833929777,2025-02-16T02:00:00,ACTUATOR,4,2.0,2
event_b5141766ba0e59524063ff0f8a9c7e3af6dbca2370b2133fcc6f800180a1fc0d,0.3396130346232179,0.37474541751527496,0.20341140529531565,1,0,-0.0029688074719160795,-0.0005463857087306678,-0.00014957378152757883,-0.0004800562746822834,0.0005982536822557449,2025-02-16T03:00:00,ENVIRONMENT,1,3.0,3
event_5924e6d34e3ec89c61c1b6b375dbca799925138452efeb094cc722c783013358,0.14485743380855398,0.22744399185336048,0.14180244399185332,1,0,-0.005642738193273544,-0.0008021515095606446,0.000150748819578439,-0.0014429858420044184,-0.0007413267740048468,2025-02-16T03:00:00,ROOTZONE,1,3.0,3
event_bbe04240db858d11f61527ff5063c708983eaa1ac253e99c5e5f4e01f6bda314,0.2510183299389002,0.30626272912423624,0.25534623217922603,1,0,-0.00225177058018744,-0.0006856115069240332,-0.00014932165504433215,-0.0010932466248050332,5.65416703466326e-05,2025-02-16T03:00:00,ACTUATOR,1,3.0,3
event_e0b2a25210354f077de84a3fd107397f51ab529267cb09d1dab1280616c3262f,0.3979124236252546,0.36975560081466397,0.2922606924643585,2,0,-0.002779260976240039,-0.0006407875334843993,-0.0002558009291533381,0.00014964617730583996,0.0001731736265355721,2025-02-16T03:00:00,ENVIRONMENT,2,3.0,3
