image_id,source_path,file_exists,decode_valid,file_size,width,height,format,EXIF_orientation,content_hash,duplicate_hash_count,farm_id,zone_id,capture_timestamp,timestamp_precision,alignment_policy,alignment_confidence,image_role_candidate,embedding_status
event_d2d3aba62ecb8d28645f8e3810ac8c3f1ca1619d87288de6a21124639b066dd2,data/I_images/F854780/image_003.jpg,True,True,12716,302,169,JPEG,,05a791c168bbf0001dc30de6380c11125e99511907a612c125ae4c783649d5b3,1,F854780,,,period,case_period_end,LOW,UNRESOLVED,pending
event_9df4e48f8a1960e384c3b31fb92fd423d89a7dbd2add9fb0c8023897e08c452f,data/I_images/F882016/image_001.jpg,True,True,71292,680,510,JPEG,,8cf21feb89ffbf10d4e5c38975bf957f5ed2bcc09a45dcf0538d1326a94ce68b,1,F882016,,,period,case_period_end,LOW,UNRESOLVED,pending
event_dddd295d4c3083802c9cf35f801ffdbc17e9bbf0b42f4595f69da887b8878a6e,data/I_images/F944488/image_003.jpg,True,True,21040,319,216,JPEG,,cf4e0989e7dddf71bd599c856d6f7c24c748a1706f3d0ea0d00ad15e52efdfe2,1,F944488,,,period,case_period_end,LOW,UNRESOLVED,pending
event_80ba8cad20d3bd91f5442881eba712c231fb75d19b2f6c642d6ca8936009ff7b,data/I_images/F968401/image_002.jpg,True,True,19609,306,204,JPEG,,a82cded275e926d85fe427067fb96008c6b48050e1bd4d9705e586d1292a10cb,1,F968401,,,period,case_period_end,LOW,UNRESOLVED,pending
event_947f4720178511ec5f9573808151e8c557cf8d7b528537e447bd27e2ee2d0a6c,data/I_images/F972037/image_001.png,True,True,4206783,2880,1616,PNG,,12d66a362138982b0a94dad8b5f994efeca0d5f0ef60159febfda35ce2bcab30,1,F972037,,,period,case_period_end,LOW,UNRESOLVED,pending
event_5f4ce41a897b6639e0dce42cf23ed66c20f5cd51d8ea1198f732e4cc6cf573f1,data/I_images/F972654/image_003.jpg,True,True,6430,145,140,JPEG,,5eda442993efccc36a0eb4b6f62fa002eeb9813c2db30140ba592ce9c8622880,1,F972654,,,period,case_period_end,LOW,UNRESOLVED,pending
event_631b8eb0da5980dc67e796a4e685a74dc24a1aa9e2d05655fefce9f03375b4f4,data/I_images/F973024/image_001.jpg,True,True,16709,300,201,JPEG,,b68472ce1f78c55ce0d9af36d80dc2688119dc8ce75d12465a14c654b968aaff,1,F973024,,,period,case_period_end,LOW,UNRESOLVED,pending
event_fb6b52de986b0808ceb4be820ac5eca849ea594ba31b13f0fa183c973aea59aa,data/I_images/F974023/image_001.jpg,True,True,101175,1024,767,JPEG,,f4fc375978eaa096f2cda8f3fa9e9f09a81a8050f3ec58e53ad7a7a1d56caf40,1,F974023,,,period,case_period_end,LOW,UNRESOLVED,pending
event_2463ec462076fcdcd8fdf036630d155a5fad0ace8b749226b174c32b12564961,data/I_images/F975071/image_001.jpg,True,True,35069,512,329,JPEG,,f36287dca1c3eac6525c22e4ec9b9c27acd03a0f015e44f350bd39817657be2b,1,F975071,,,period,case_period_end,LOW,UNRESOLVED,pending
event_455b7a9eeb96adc97fce29f46aa6785b19f58fcdbc6bf9e42341af05d0a97131,data/I_images/F976048/image_001.jpg,True,True,16926,308,234,JPEG,,7527275d5f2b97ae68cc62e71144153b77e196a43abf0650539bbe62d1a1403e,1,F976048,,,period,case_period_end,LOW,UNRESOLVED,pending
event_3f77f2558208693e474826949bb00e5fe7e930a05ceb84047a001ba4012abd04,data/I_images/F981237/image_002.jpg,True,True,11711,306,204,JPEG,,2f7a43cd0cf1ed2a89a51b593b28a7488c69ff02227c10aaf4238052a0a87bb5,1,F981237,,,period,case_period_end,LOW,UNRESOLVED,pending
event_36c75c18ff23b6f2bf17eb9d0217ee12d7d81352192498e71fc09cad3a616927,data/I_images/F995842/image_003.jpg,True,True,11905,306,204,JPEG,,c7ceb6966a976a7248b9292b2767c2b027dc1f5414aed6d30c2e98587bd730d3,1,F995842,,,period,case_period_end,LOW,UNRESOLVED,pending
